Gene stable ID	Gene name
AGAP004677	
AGAP004678	
AGAP004679	
AGAP004680	
AGAP004681	
AGAP004682	
AGAP004683	
AGAP004684	
AGAP004685	
AGAP004686	
AGAP004687	
AGAP004688	
AGAP004689	
AGAP004690	CPF3
AGAP004691	
AGAP004692	
AGAP004693	
AGAP004694	
AGAP004695	
AGAP004696	exd
AGAP004698	
AGAP004699	
AGAP004700	
AGAP004701	
AGAP004702	
AGAP004703	
AGAP004704	
AGAP004706	
AGAP004707	para
AGAP004708	
AGAP004709	
AGAP004710	
AGAP004711	
AGAP004712	
AGAP004713	
AGAP004714	
AGAP004715	
AGAP004716	Gr57
AGAP004717	
AGAP004718	
AGAP004719	CLIPC9
AGAP028411	
AGAP028129	
AGAP004720	
AGAP004721	
AGAP004722	
AGAP028395	
AGAP004723	
AGAP004724	
AGAP004725	eIF3c
AGAP028013	CPLCP25
AGAP004726	
AGAP004727	Gr25
AGAP028030	
AGAP004728	
AGAP004729	
AGAP004730	
AGAP004731	
AGAP004732	
AGAP004733	
AGAP004734	
AGAP004735	
AGAP004736	
AGAP004737	
AGAP004738	
AGAP004739	
AGAP028446	
AGAP004740	
AGAP028394	
AGAP004741	
AGAP004742	
AGAP004743	
AGAP004744	skap
AGAP004745	
AGAP004746	Thoc5
AGAP004747	
AGAP004748	
AGAP004749	
AGAP004750	
AGAP004751	
AGAP004752	
AGAP028223	
AGAP004753	
AGAP004754	CASPL2
AGAP028075	
AGAP004755	
AGAP028397	
AGAP004756	
AGAP028398	
AGAP004757	
AGAP004758	
AGAP004759	
AGAP004760	
AGAP004761	
AGAP004762	
AGAP004763	
AGAP004764	
AGAP004765	
AGAP004766	
AGAP004767	
AGAP004768	
AGAP004769	
AGAP004770	
AGAP004771	
AGAP004772	
AGAP004773	
AGAP004774	
AGAP004775	
AGAP004776	
AGAP004777	
AGAP004778	
AGAP004780	
AGAP004781	
AGAP004782	
AGAP004783	
AGAP004784	
AGAP004785	
AGAP004786	
AGAP004787	
AGAP004788	
AGAP004789	
AGAP004790	
AGAP004791	
AGAP004792	
AGAP004793	
